year,borough,pm25_annual,pm25_summer,pm25_winter,asthma_rate
2023,Manhattan,7.3,9.3,7.2,54.3
2023,Bronx,6.9,9.3,6.6,136.4
2023,Brooklyn,6.7,8.8,6.3,63
2023,Queens,6.6,8.8,6.1,38.6
2023,Staten Island,6.2,8.4,5.5,41.1
2022,Manhattan,7,7.5,7.9,50.6
2022,Bronx,6.1,7.1,7.3,121.9
2022,Brooklyn,5.8,6.3,6.9,55.2
2022,Queens,5.7,6.4,6.7,31.6
2022,Staten Island,5.2,5.8,6.1,36.5
2021,Manhattan,7.4,9.4,7.5,48.2
2021,Brooklyn,6.6,8.5,6.9,43.9
2021,Queens,6.5,8.1,6.7,28.6
2021,Bronx,6.6,8.6,6.6,98.9
2021,Staten Island,6.2,7.9,6.5,31.6
2020,Manhattan,7.2,7.8,9.1,43.5
2020,Brooklyn,6.1,6.9,7.6,48
2020,Queens,6.1,6.9,7.6,25.4
2020,Bronx,6.1,7.2,7,96.5
2020,Staten Island,5.5,6.6,6.7,33.2
2019,Manhattan,8.3,9.4,9.3,71.1
2019,Bronx,6.9,8,7.5,151.3
2019,Brooklyn,6.7,8.2,7.3,76.7
2019,Queens,6.5,7.7,7.1,43.5
2019,Staten Island,5.9,7.4,6.5,52.3
2018,Manhattan,8.5,9.7,9.6,84
2018,Brooklyn,7.2,8.4,8.5,91.2
2018,Bronx,7.2,8.6,8.3,172.8
2018,Queens,6.8,8.3,7.9,44.4
2018,Staten Island,6.4,7.5,7.8,60.2
2017,Manhattan,8.7,10.4,9,79.8
2017,Bronx,7.7,9.6,8.3,161.1
2017,Queens,7.2,8.8,8,46.4
2017,Brooklyn,7.5,9.1,7.9,83.3
2017,Staten Island,6.8,8.1,7.1,52.4
2016,Manhattan,9,9.5,9.4,91.7
2016,Bronx,7.8,8.3,8.4,193.5
2016,Brooklyn,7.8,8.3,8.4,101.7
2016,Queens,7.2,7.8,7.6,51.6
2016,Staten Island,6.8,7.8,7.5,55.5
2014,Manhattan,10.8,10.3,14.1,102.4
2014,Bronx,9.3,8.8,12.5,226.8
2014,Brooklyn,9.1,8.8,11.9,119.4
2014,Staten Island,8.4,7.8,11.8,71.3
2014,Queens,8.6,8.2,11.2,60.7
2013,Manhattan,10.7,11.8,12.8,97.7
2013,Bronx,9.1,10.4,11.2,225.8
2013,Brooklyn,8.7,10.3,10.3,122
2013,Queens,8.4,10.1,9.9,60.3
2013,Staten Island,8,9.3,9.7,71.6
2012,Manhattan,10.9,11.8,11.3,104.9
2012,Bronx,9.5,10.5,9.9,220.2
2012,Brooklyn,9,10.4,9.2,129
2012,Queens,8.6,10.1,8.8,64.5
2012,Staten Island,8.3,9.9,8.4,84.3
2011,Manhattan,11.9,12.9,14.8,101.7
2011,Bronx,10.8,11.7,13.8,193.2
2011,Brooklyn,10.2,11.6,12.6,121
2011,Queens,9.8,11.2,12.1,62
2011,Staten Island,9.4,11.1,11.7,77.1
2010,Manhattan,11.6,13.4,12,97
2010,Bronx,10.1,12.1,10.9,200.7
2010,Brooklyn,9.7,12,10,115.7
2010,Queens,9.2,11.5,9.4,59.4
2010,Staten Island,8.8,11.4,9.1,76.5
2009,Manhattan,12.6,12.6,15.3,107.6
2009,Bronx,11,10.7,14.1,214.2
2009,Brooklyn,10.5,10.9,12.9,106.1
2009,Queens,10,10.3,12.6,59.9
2009,Staten Island,9.8,10.5,11.8,79.5
